url,headline
http://comp20008-jh.eng.unimelb.edu.au:9889/main/harapova100.html,Sharapova overcomes tough Molik
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bplayers099.html,GB players warned over security
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanove001.html,Henman overcomes rival Rusedski
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererwi098.html,Federer wins title in Rotterdam
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinslum002.html,Safin slumps to shock Dubai loss
http://comp20008-jh.eng.unimelb.edu.au:9889/main/auresmof097.html,Mauresmo fights back to win title
http://comp20008-jh.eng.unimelb.edu.au:9889/main/erreroey003.html,Ferrero eyes return to top form
http://comp20008-jh.eng.unimelb.edu.au:9889/main/gassiint096.html,Agassi into second round in Dubai
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickin004.html,Roddick into San Jose final
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop095.html,Henman hopes ended in Dubai rain
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ederercl005.html,Federer claims Dubai crown
http://comp20008-jh.eng.unimelb.edu.au:9889/main/njuredRo094.html,Injured Roddick quits in Memphis
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oungdebu006.html,Young debut cut short by Ginepri
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lijsters093.html,Clijsters sets up Venus match-up
http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho007.html,Melzer shocks Agassi
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ustralia092.html,Australia miss Molik for Fed Cup
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererfo008.html,Federer forced to dig deep
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickto091.html,Roddick to face Saulnier in final
http://comp20008-jh.eng.unimelb.edu.au:9889/main/adalmarc009.html,Nadal marches on in Mexico
http://comp20008-jh.eng.unimelb.edu.au:9889/main/irzamake090.html,Mirza makes Indian tennis history
http://comp20008-jh.eng.unimelb.edu.au:9889/main/antuchova010.html,Hantuchova in Dubai last eight
http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho089.html,Melzer shocks Agassi in San Jose
http://comp20008-jh.eng.unimelb.edu.au:9889/main/armarrul011.html,Parmar ruled out of Davis Cup tie
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lmagroco088.html,Almagro continues Spanish surge
http://comp20008-jh.eng.unimelb.edu.au:9889/main/avenport012.html,Davenport hits out at Wimbledon
http://comp20008-jh.eng.unimelb.edu.au:9889/main/iggunse087.html,Big guns ease through in San Jose
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oggedFed013.html,Dogged Federer claims Dubai crown
http://comp20008-jh.eng.unimelb.edu.au:9889/main/usedskif086.html,Rusedski forced out in Marseille
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop014.html,Henman hopes ended in Dubai
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oderling085.html,Soderling wins tense Milan final
http://comp20008-jh.eng.unimelb.edu.au:9889/main/irzashoc015.html,Mirza shocks Kuznetsova
http://comp20008-jh.eng.unimelb.edu.au:9889/main/eteranMa084.html,Veteran Martinez wins Thai title
http://comp20008-jh.eng.unimelb.edu.au:9889/main/antuchova016.html,Hantuchova in Dubai last eight
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinreli083.html,Safin relieved at Aussie recovery
http://comp20008-jh.eng.unimelb.edu.au:9889/main/urrayto017.html,Murray to make Cup history
http://comp20008-jh.eng.unimelb.edu.au:9889/main/inisterd082.html,Minister digs in over doping row
http://comp20008-jh.eng.unimelb.edu.au:9889/main/avenport018.html,Davenport hits out at Wimbledon
http://comp20008-jh.eng.unimelb.edu.au:9889/main/vanovics081.html,Ivanovic seals Canberra victory
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enusstun019.html,Venus stunned by Farina Elia
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmandec080.html,Henman decides to quit Davis Cup
http://comp20008-jh.eng.unimelb.edu.au:9889/main/artinezs020.html,Martinez sees off Vinci challenge
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyasides079.html,Moya sidesteps Davis Cup in 2005
http://comp20008-jh.eng.unimelb.edu.au:9889/main/erenabec021.html,Serena becomes world number two
http://comp20008-jh.eng.unimelb.edu.au:9889/main/entconti078.html,Dent continues Adelaide progress
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ingisto022.html,Hingis to make unexpected return
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lovakiar077.html,Slovakia reach Hopman Cup final
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lijsters023.html,Clijsters set for February return
http://comp20008-jh.eng.unimelb.edu.au:9889/main/hilippous076.html,Philippoussis doubt over Open bid
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal024.html,Hewitt falls to Dent
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererjo075.html,Federer joins all-time greats
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ngryWill025.html,Angry Williams rejects criticism
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ochetur074.html,Roche 'turns down Federer offer'
http://comp20008-jh.eng.unimelb.edu.au:9889/main/avenport026.html,Davenport dismantles young rival
http://comp20008-jh.eng.unimelb.edu.au:9889/main/onnorsr073.html,Connors' rallying cry for British tennis
http://comp20008-jh.eng.unimelb.edu.au:9889/main/erenaend027.html,Serena ends Sania Mirza's dream
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanM072.html,Henman & Murray claim LTA awards
http://comp20008-jh.eng.unimelb.edu.au:9889/main/uznetsova028.html,Kuznetsova 'failed a drugs test'
http://comp20008-jh.eng.unimelb.edu.au:9889/main/adalputs071.html,Nadal puts Spain 2-0 up
http://comp20008-jh.eng.unimelb.edu.au:9889/main/hatnowf029.html,What now for British tennis?
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinplay070.html,Safin plays down Wimbledon hopes
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittove030.html,Hewitt overcomes wobble in Sydney
http://comp20008-jh.eng.unimelb.edu.au:9889/main/afincool069.html,Safin cool on Wimbledon
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyafight031.html,Moya fights back for Indian title
http://comp20008-jh.eng.unimelb.edu.au:9889/main/illiamsb068.html,Williams battles to Aussie title
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ochussho032.html,Rochus shocks Coria in Auckland
http://comp20008-jh.eng.unimelb.edu.au:9889/main/fficials067.html,Officials respond in court row
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ohansson033.html,Johansson takes Adelaide victory
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfig066.html,Hewitt fights back to reach final
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ingishin034.html,Hingis hints at playing comeback
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oubeksus065.html,Koubek suspended after drugs test
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lovakias035.html,Slovakia seal Hopman Cup success
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ydneyret064.html,Sydney return for Henin-Hardenne
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ementieva036.html,Dementieva prevails in Hong Kong
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittsur063.html,Hewitt survives Nalbandian epic
http://comp20008-jh.eng.unimelb.edu.au:9889/main/njurysid037.html,Injury sidelines Philippoussis
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickin062.html,Roddick in talks over new coach
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal038.html,Hewitt falls to Dent in Adelaide
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddicksp061.html,Roddick splits from coach Gilbert
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererbr039.html,Federer breezes into semi-finals
http://comp20008-jh.eng.unimelb.edu.au:9889/main/dgyAgass060.html,Edgy Agassi struggles past Dent
http://comp20008-jh.eng.unimelb.edu.au:9889/main/avenport040.html,Davenport puts retirement on hold
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lijsters059.html,Clijsters could play Aussie Open
http://comp20008-jh.eng.unimelb.edu.au:9889/main/usedskia041.html,Rusedski angry over supplements
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lijsters058.html,Clijsters hope on Aussie Open
http://comp20008-jh.eng.unimelb.edu.au:9889/main/avratilov042.html,Navratilova hits out at critics
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyasuffe057.html,Moya suffers shock loss
http://comp20008-jh.eng.unimelb.edu.au:9889/main/rodigyMo043.html,Prodigy Monfils blows away Gaudio
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanto056.html,Henman to face Saulnier test
http://comp20008-jh.eng.unimelb.edu.au:9889/main/onnorsbo044.html,Connors boost for British tennis
http://comp20008-jh.eng.unimelb.edu.au:9889/main/gassifea055.html,Agassi fear for Melbourne
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enin-Hard045.html,Henin-Hardenne beaten on comeback
http://comp20008-jh.eng.unimelb.edu.au:9889/main/auresmoo054.html,Mauresmo opens with victory in LA
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaclinc046.html,Moya clinches Cup for Spain
http://comp20008-jh.eng.unimelb.edu.au:9889/main/aultless053.html,Faultless Federer has no equal
http://comp20008-jh.eng.unimelb.edu.au:9889/main/apriatit047.html,Capriati to miss Melbourne
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ryantwin052.html,Bryan twins keep US hopes alive
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lassyHen048.html,Classy Henman makes winning start
http://comp20008-jh.eng.unimelb.edu.au:9889/main/apriatio051.html,Capriati out of Australian Open
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti049.html,Moya emotional after Davis Cup win
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti050.html,Moya emotional at Davis Cup win
